,network_source,tweet,date,compound_score,pos_score,neu_score,neg_score
478,Fox News,"Pennsylvania woman killed in car crash after boyfriend 'cut' brake lines looking for pipe to 'smoke crack,' police… https://t.co/VqHFRe6fY9",Thu Aug 30 06:35:00 +0000 2018,-0.802,0.0,0.702,0.298
479,Fox News,Cop acquitted in unarmed man's death is teaching officers how to cope with similar incidents. https://t.co/PM85nmqLQm,Thu Aug 30 06:12:00 +0000 2018,-0.4404,0.101,0.704,0.196
480,The New York Times,"In the day after he won the Florida primary for governor, the Democratic nominee Andrew Gillum has raised more than… https://t.co/anUIO57B4z",Thu Aug 30 03:32:00 +0000 2018,0.5719,0.156,0.844,0.0
481,The New York Times,RT @NYTmag: THIS WEEK'S COVER: Riz Ahmed does not want to do away with categories; he wants them to be big enough to include reality. He wa…,Thu Aug 30 03:16:02 +0000 2018,-0.0572,0.0,0.955,0.045
482,The New York Times,The murders of 2 women using a ride-share app in China are a wake-up call for an industry prizing growth over users… https://t.co/67JL27Mp3L,Thu Aug 30 03:02:02 +0000 2018,-0.34,0.106,0.732,0.163
483,The New York Times,RT @shearm: He obsessed over the music. He choreographed the movement of his coffin. And he sent an unmistakable rebuke to President Trump.…,Thu Aug 30 02:52:01 +0000 2018,-0.1779,0.0,0.928,0.072
484,The New York Times,"Trump and his Republican allies have made crime, violence, gangs and societal unrest a centerpiece of their attacks… https://t.co/MuoLuTRGTM",Thu Aug 30 02:47:02 +0000 2018,-0.8225,0.0,0.678,0.322
485,The New York Times,"""I may be just a muggle...but as a reader I know magic when I feel it."" On Harry Potter's 20th anniversary, here's… https://t.co/NoA4hQUWro",Thu Aug 30 02:32:01 +0000 2018,0.0,0.0,1.0,0.0
486,The New York Times,"RT @NYTnickc: Was sent to Hoboken today to report on the spate of 17 water main breaks in 2 months. 

While interviewing @RaviBhalla, an ai…",Thu Aug 30 02:17:05 +0000 2018,0.0,0.0,1.0,0.0
487,The New York Times,The Trump administration is reviewing a major Obama-era clean air regulation on the emission of mercury — a polluta… https://t.co/lfcCHGY802,Thu Aug 30 02:02:05 +0000 2018,0.4019,0.144,0.856,0.0
488,The New York Times,"Intimate, loud, and rich in amenities, the newly renovated Louis Armstrong Stadium is a main draw at the U.S. Open. https://t.co/zVLjTKE27r",Thu Aug 30 01:47:03 +0000 2018,0.5574,0.159,0.841,0.0
489,The New York Times,"RT @heathertal: ""If this coldest of cases is to be cracked, it may well be due to the work of citizen sleuths like me,"" Michelle McNamara p…",Thu Aug 30 01:36:03 +0000 2018,0.5574,0.155,0.845,0.0
490,The New York Times,Rain Dove said that they turned their texts with Asia Argento over to the police because they believed that Argento… https://t.co/KNwbwDu1Xp,Thu Aug 30 01:23:01 +0000 2018,0.0,0.0,1.0,0.0
491,The New York Times,"RT @jmartNYT: NEW: Gillum says DeSantis using ""bullhorns"" not dog-whistles, Steyer says FL is ""most significant state"" of the election and…",Thu Aug 30 01:12:05 +0000 2018,0.2716,0.095,0.905,0.0
492,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/4zlbqAuL8V,Thu Aug 30 01:02:07 +0000 2018,0.0,0.0,1.0,0.0
493,The New York Times,"He gave a stranded couple his last $20. They used his story to raise $400,000 through GoFundMe. He claims he never… https://t.co/5JXDm3MtAV",Thu Aug 30 00:47:03 +0000 2018,0.0,0.0,1.0,0.0
494,The New York Times,"RT @nytopinion: .@rgay on Louis C.K. and justice: ""We spend so little energy thinking about justice for victims and so much energy thinking…",Thu Aug 30 00:36:03 +0000 2018,0.8258,0.351,0.576,0.074
495,The New York Times,Another industry disrupted by young upstarts: the long reign of the Red Delicious apple is coming to an end https://t.co/pSdrDyopx0,Thu Aug 30 00:24:00 +0000 2018,0.5719,0.163,0.837,0.0
496,The New York Times,"At Ohio State, where football is “basically a religion,” Urban Meyer’s suspension has led to hard questions on the… https://t.co/UaE2Vh9cFp",Thu Aug 30 00:12:05 +0000 2018,-0.1027,0.0,0.928,0.072
497,The New York Times,"RT @NYTMetro: For much of their one and only debate, Gov. Andrew Cuomo and Cynthia Nixon jabbed and counter-punched, talking over each othe…",Thu Aug 30 00:01:21 +0000 2018,0.0,0.0,1.0,0.0
498,The New York Times,A program meant to help the poor has come to include hospitals that don’t need the extra help and are not using its… https://t.co/s6IY7M5jL6,Wed Aug 29 23:47:05 +0000 2018,0.3182,0.189,0.702,0.109
499,The New York Times,A serial-killer task force has been set up in Washington State after a dozen cats have been found mutilated since F… https://t.co/hijqcoypq8,Wed Aug 29 23:32:03 +0000 2018,0.0,0.0,1.0,0.0
